"","Country,Other","TotalCases","NewCases","TotalDeaths","NewDeaths","TotalRecovered","ActiveCases","Serious,Critical","Tot Cases/1M pop","Deaths/1M pop","TotalTests","Tests/1M pop","Continent","date"
"68","Iraq",1279,47,70,1,550,659,NA,32,2,32158,800,"Asia","2020-04-10"
"69","Estonia",1258,51,24,NA,93,1141,9,948,18,27883,21019,"Europe","2020-04-10"
"70","Hungary",1190,210,77,11,112,1001,17,123,8,29948,3100,"Europe","2020-04-10"
"71","Slovenia",1160,36,45,2,137,978,36,558,22,33047,15896,"Europe","2020-04-10"
"72","Lithuania",999,44,22,6,54,923,14,367,8,36051,13243,"Europe","2020-04-10"
"73","Kuwait",993,83,1,NA,123,869,26,233,0.2,NA,NA,"Asia","2020-04-10"
"74","Azerbaijan",991,65,10,1,159,822,27,98,1,61342,6050,"Asia","2020-04-10"
"75","Hong Kong",990,16,4,NA,309,677,15,132,0.5,96709,12900,"Asia","2020-04-10"
"76","Armenia",937,16,12,2,149,776,30,316,4,6081,2052,"Asia","2020-04-10"
"77","Bahrain",913,26,6,1,530,377,3,537,4,57307,33679,"Asia","2020-04-10"
"78","Bosnia and Herzegovina",886,28,36,1,129,721,4,270,11,6911,2106,"Europe","2020-04-10"
"79","Kazakhstan",812,31,10,2,64,738,21,43,0.5,61955,3300,"Asia","2020-04-10"
"80","Cameroon",803,NA,12,NA,61,730,NA,30,0.5,NA,NA,"Africa","2020-04-10"
"81","Slovakia",715,14,2,NA,23,690,5,131,0.4,22957,4205,"Europe","2020-04-10"
"82","Diamond Princess",712,NA,11,NA,619,82,10,NA,NA,NA,NA,"","2020-04-10"
"83","North Macedonia",711,48,32,2,41,638,15,341,15,6571,3154,"Europe","2020-04-10"
"84","Tunisia",643,NA,25,NA,25,593,78,54,2,9570,810,"Africa","2020-04-10"
"85","Bulgaria",635,17,25,1,54,556,33,91,4,18502,2663,"Europe","2020-04-10"
"86","Uzbekistan",624,42,3,NA,42,579,8,19,0.09,70000,2091,"Asia","2020-04-10"
"87","Latvia",612,23,3,NA,16,593,3,324,2,26656,14132,"Europe","2020-04-10"
"88","Lebanon",609,27,20,1,76,513,28,89,3,13530,1982,"Asia","2020-04-10"
"89","Andorra",601,18,26,1,71,504,17,7778,337,1673,21653,"Europe","2020-04-10"
"90","Cyprus",595,31,10,NA,58,527,11,493,8,16308,13507,"Asia","2020-04-10"
"91","Cuba",564,49,15,NA,51,498,11,50,1,12023,1061,"North America","2020-04-10"
"92","Costa Rica",539,NA,3,NA,30,506,13,106,0.6,6298,1236,"North America","2020-04-10"
"93","Afghanistan",521,37,15,NA,32,474,NA,13,0.4,NA,NA,"Asia","2020-04-10"
"94","Oman",484,27,3,NA,109,372,3,95,0.6,NA,NA,"Asia","2020-04-10"
"95","Uruguay",473,17,7,NA,206,260,13,136,2,6856,1974,"South America","2020-04-10"
"96","Cote d'Ivoire",444,NA,3,NA,52,389,NA,17,0.1,NA,NA,"Africa","2020-04-10"
"97","Burkina Faso",443,NA,24,NA,146,273,NA,21,1,NA,NA,"Africa","2020-04-10"
"98","Bangladesh",424,94,27,6,33,364,1,3,0.2,7359,45,"Asia","2020-04-10"
"99","Albania",416,7,23,NA,182,211,7,145,8,3385,1176,"Europe","2020-04-10"
"100","Niger",410,NA,11,NA,40,359,NA,17,0.5,4251,176,"Africa","2020-04-10"
"101","Honduras",382,39,23,NA,7,352,10,39,2,1600,162,"North America","2020-04-10"
"102","Taiwan*",382,2,6,1,91,285,NA,16,0.3,43886,1843,"Asia","2020-04-10"
